drawSystemId,drawDate,gameType,n1,n2,n3,n4,n5,n6
7170,2025-03-15T21:00:00Z,Lotto,6,11,18,20,28,34
7169,2025-03-13T21:00:00Z,Lotto,1,14,20,40,41,43
7168,2025-03-11T21:00:00Z,Lotto,2,9,10,16,27,49
7167,2025-03-08T21:00:00Z,Lotto,14,20,21,23,26,49
7166,2025-03-06T21:00:00Z,Lotto,3,10,11,13,18,33
7165,2025-03-04T21:00:00Z,Lotto,9,18,24,30,31,48
7164,2025-03-01T21:00:00Z,Lotto,3,7,10,29,40,46
7163,2025-02-27T21:00:00Z,Lotto,1,6,7,29,37,38
7162,2025-02-25T21:00:00Z,Lotto,1,3,10,15,17,44
7161,2025-02-22T21:00:00Z,Lotto,2,5,6,18,36,39
7160,2025-02-20T21:00:00Z,Lotto,4,7,19,20,38,46
7159,2025-02-18T21:00:00Z,Lotto,3,5,6,8,15,42
7158,2025-02-15T21:00:00Z,Lotto,20,22,26,32,44,45
7157,2025-02-13T21:00:00Z,Lotto,21,30,35,36,37,38
7156,2025-02-11T21:00:00Z,Lotto,3,17,18,20,29,30
7155,2025-02-08T21:00:00Z,Lotto,7,10,23,24,48,49
7154,2025-02-06T21:00:00Z,Lotto,8,10,11,17,36,46
7153,2025-02-04T21:00:00Z,Lotto,17,19,22,25,31,38
7152,2025-02-01T21:00:00Z,Lotto,2,3,6,17,20,30
7151,2025-01-30T21:00:00Z,Lotto,4,16,21,30,43,49
7150,2025-01-28T21:00:00Z,Lotto,7,8,23,29,31,43
7149,2025-01-25T21:00:00Z,Lotto,28,30,32,36,40,48
7148,2025-01-23T21:00:00Z,Lotto,9,12,28,40,42,45
7147,2025-01-21T21:00:00Z,Lotto,5,12,32,34,36,39
7146,2025-01-18T21:00:00Z,Lotto,20,30,32,34,43,48
7145,2025-01-16T21:00:00Z,Lotto,26,28,30,40,44,49
7144,2025-01-14T21:00:00Z,Lotto,6,10,26,34,40,43
7143,2025-01-11T21:00:00Z,Lotto,7,11,17,18,30,36
7142,2025-01-09T21:00:00Z,Lotto,1,11,19,26,42,44
7141,2025-01-07T21:00:00Z,Lotto,10,11,18,25,41,46
7140,2025-01-04T21:00:00Z,Lotto,11,19,24,31,34,45
7139,2025-01-02T21:00:00Z,Lotto,2,12,17,24,42,43
7138,2024-12-31T21:00:00Z,Lotto,4,12,30,38,46,48
7137,2024-12-28T21:00:00Z,Lotto,8,10,15,31,39,48
7136,2024-12-26T21:00:00Z,Lotto,3,9,22,33,42,43
7135,2024-12-24T21:00:00Z,Lotto,2,4,8,27,31,48
7134,2024-12-21T21:00:00Z,Lotto,7,13,15,17,22,41
7133,2024-12-19T21:00:00Z,Lotto,13,20,21,28,30,35
7132,2024-12-17T21:00:00Z,Lotto,26,28,35,38,40,49
7131,2024-12-14T21:00:00Z,Lotto,12,15,19,36,47,49
7130,2024-12-12T21:00:00Z,Lotto,3,17,20,42,43,46
7129,2024-12-10T21:00:00Z,Lotto,2,23,31,34,36,39
7128,2024-12-07T21:00:00Z,Lotto,6,8,17,22,40,41
7127,2024-12-05T21:00:00Z,Lotto,2,15,19,25,29,34
7126,2024-12-03T21:00:00Z,Lotto,9,11,14,28,36,48
7125,2024-11-30T21:00:00Z,Lotto,9,13,20,38,41,49
7124,2024-11-28T21:00:00Z,Lotto,3,10,11,13,24,40
7123,2024-11-26T21:00:00Z,Lotto,4,6,10,24,26,44
7122,2024-11-23T21:00:00Z,Lotto,10,16,27,32,45,49
7121,2024-11-21T21:00:00Z,Lotto,8,14,20,24,26,40
7120,2024-11-19T21:00:00Z,Lotto,2,12,19,24,35,38
7119,2024-11-16T21:00:00Z,Lotto,1,7,26,36,37,40
7118,2024-11-14T21:00:00Z,Lotto,1,20,35,36,44,47
7117,2024-11-12T21:00:00Z,Lotto,6,12,14,20,21,38
7116,2024-11-09T21:00:00Z,Lotto,2,12,15,16,35,40
7115,2024-11-07T21:00:00Z,Lotto,1,11,21,22,31,41
7114,2024-11-05T21:00:00Z,Lotto,5,6,15,16,41,48
7113,2024-11-02T21:00:00Z,Lotto,5,13,16,37,40,43
7112,2024-10-31T21:00:00Z,Lotto,8,10,18,25,41,48
